person_id,name,birthdate,biography
31,Stephanie Hsu,1990-10-25,"American actress born in California. She received an Academy Award nomination for Best Supporting Actress for her role in Everything Everywhere All at Once (2022). In this dataset, Stephanie Hsu appears as an actor."
32,Ke Huy Quan,1971-08-20,"American actor born in Saigon, Vietnam, of Chinese descent. He won the Academy Award for Best Supporting Actor for Everything Everywhere All at Once (2022) after a 19-year acting hiatus. In this dataset, Ke Huy Quan appears as an actor."
33,Jonathan Wang,1982-05-17,"American film producer known for producing innovative independent films including Everything Everywhere All at Once (2022). He co-founded A24-affiliated production company Year of the Rat. In this dataset, Jonathan Wang appears as a producer."
34,Garth Jennings,1972-06-01,"British film director and writer born in Birmingham, England. Known for directing The Hitchhiker's Guide to the Galaxy (2005) and the animated musical films Sing (2016) and Sing 2 (2021). In this dataset, Garth Jennings appears as a director and writer."
35,Taron Egerton,1989-11-10,"Welsh actor born in Birkenhead, Merseyside. Known for starring in Kingsman: The Secret Service, Rocketman, and voicing Johnny in the Sing franchise. Trained at the Royal Academy of Dramatic Art. In this dataset, Taron Egerton appears as an actor."
36,Janet Healy,1963-03-08,"American film producer who has worked extensively with Illumination Entertainment. She produced the animated films Sing (2016) and its sequel. In this dataset, Janet Healy appears as a producer."
37,Chris Meledandri,1959-11-11,"American film producer and founder of Illumination Entertainment, the studio behind the Despicable Me and Minions franchises. He produced the Sing films. In this dataset, Chris Meledandri appears as a producer."
38,Wes Craven,1939-08-02,"American film director and screenwriter born in Cleveland, Ohio. A master of the horror genre, he created A Nightmare on Elm Street and directed the Scream franchise. He passed away on August 30, 2015. In this dataset, Wes Craven appears as a director."
39,Neve Campbell,1973-10-03,"Canadian actress born in Guelph, Ontario. She rose to international fame playing Sidney Prescott in the Scream franchise beginning in 1996. In this dataset, Neve Campbell appears as an actor."
40,Courteney Cox,1964-06-15,"American actress born in Birmingham, Alabama. Best known for playing Monica Geller on Friends (1994-2004) and Gale Weathers in the Scream franchise. In this dataset, Courteney Cox appears as an actor."
41,Kevin Williamson,1965-03-14,"American screenwriter and producer born in New Bern, North Carolina. He wrote the screenplay for Scream (1996), revitalizing the slasher genre. In this dataset, Kevin Williamson appears as a writer."
42,Cathy Konrad,1961-07-19,"American film producer known for her work on various Hollywood productions including the original Scream (1996). She has collaborated with Wes Craven and other directors throughout her career. In this dataset, Cathy Konrad appears as a producer."
43,Cary Woods,1957-09-25,"American film producer who co-produced the original Scream (1996). He has worked across multiple genres in Hollywood and is known for backing projects by emerging directors. In this dataset, Cary Woods appears as a producer."
44,Satoshi Kon,1963-10-12,"Japanese anime director and screenwriter born in Sapporo, Hokkaido. Regarded as one of the most innovative directors in animation history, known for Perfect Blue, Millennium Actress, and Paprika. He passed away on August 24, 2010. In this dataset, Satoshi Kon appears as a director."
45,Junko Iwao,1970-06-30,"Japanese voice actress born in Kumamoto Prefecture. Known for voicing Mima Kirigoe in Perfect Blue (1997) and Tomoyo Daidouji in Cardcaptor Sakura. In this dataset, Junko Iwao appears as an actor."
46,Rica Matsumoto,1968-06-30,"Japanese voice actress and singer born in Tokyo. Best known internationally for voicing Ash Ketchum in the Pokémon anime and for her role in Perfect Blue (1997). In this dataset, Rica Matsumoto appears as an actor."
47,Sadayuki Murai,1964-11-15,"Japanese screenwriter known for adapting novels and manga into anime scripts. He wrote the screenplay for Perfect Blue (1997) based on Yoshikazu Takeuchi's novel. In this dataset, Sadayuki Murai appears as a writer."
48,Hitomi Nakagaki,1960-04-05,"Japanese film and animation producer who worked on the production of Perfect Blue (1997) at Madhouse studios. In this dataset, Hitomi Nakagaki appears as a producer."
49,Masao Maruyama,1941-07-28,"Japanese animation producer and co-founder of Madhouse studio. He produced landmark anime films including Perfect Blue (1997) and Paprika (2006). In this dataset, Masao Maruyama appears as a producer."
50,Denis Villeneuve,1967-10-03,"French-Canadian film director and writer born in Gentilly, Quebec. Known for visually stunning and emotionally resonant films including Arrival, Blade Runner 2049, and the Dune series. In this dataset, Denis Villeneuve appears as a director."
51,Ryan Gosling,1980-11-12,"Canadian actor born in London, Ontario. Known for roles in La La Land, Drive, and Blade Runner 2049, he has received multiple Academy Award nominations and a Golden Globe Award. In this dataset, Ryan Gosling appears as an actor."
52,Ana de Armas,1988-04-30,"Cuban-Spanish actress born in Santa Cruz del Norte, Cuba. She gained international recognition for her roles in Blade Runner 2049 and Knives Out. In this dataset, Ana de Armas appears as an actor."
53,Michael Green,1969-11-16,"American screenwriter and producer born in New York. Known for writing Logan (2017), Murder on the Orient Express (2017), and Blade Runner 2049 (2017). In this dataset, Michael Green appears as a writer."
54,Andrew Kosove,1967-03-21,"American film producer and co-CEO of Alcon Entertainment. He produced Blade Runner 2049 (2017) and other major studio films. In this dataset, Andrew Kosove appears as a producer."
55,Broderick Johnson,1960-08-14,"American film producer and co-CEO of Alcon Entertainment. He co-produced Blade Runner 2049 (2017) alongside Andrew Kosove. In this dataset, Broderick Johnson appears as a producer."
56,Cynthia Yorkin,1958-12-01,"American film producer with credits including Blade Runner 2049 (2017). She has worked in Hollywood film production across multiple decades. In this dataset, Cynthia Yorkin appears as a producer."
57,Megumi Hayashibara,1967-03-30,"Japanese voice actress and singer born in Tokyo. One of Japan's most acclaimed voice actresses, known for roles in Neon Genesis Evangelion, Ranma 1/2, and Paprika (2006). In this dataset, Megumi Hayashibara appears as an actor."
58,Yasutaka Tsutsui,1934-09-24,"Japanese novelist born in Osaka. A prolific author of science fiction and absurdist fiction, his novels Paprika and The Girl Who Leapt Through Time were both adapted into acclaimed anime films. In this dataset, Yasutaka Tsutsui appears as a writer and producer."
